ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
3982,Friendly,1970-01-09,Libya,2,2,Tunisia,,1
3983,Friendly,1970-02-09,Poland,5,0,Denmark,,1
3984,Friendly,1970-04-09,Libya,3,2,Tunisia,,1
3985,Friendly,1970-05-09,France,3,0,Czechoslovakia,,1
3986,Friendly,1970-06-09,German DR,5,0,Poland,,1
3987,Friendly,1970-06-09,Iran,7,0,Pakistan,,1
3988,Friendly,1970-09-09,Germany,3,1,Hungary,,1
3989,Friendly,1970-11-09,Iran,1,1,Turkey,,1
3990,Nordic Championship,1970-09-23,Denmark,0,1,Norway,,1
3991,Friendly,1970-09-23,Republic of Ireland,0,2,Poland,,1
3992,Friendly,1970-09-24,Tunisia,2,0,Libya,,1
3993,Friendly,1970-09-30,Brazil,2,1,Mexico,,1
3994,Friendly,1970-04-10,Chile,1,5,Brazil,,1
3995,Friendly,1970-07-10,Austria,1,0,France,,1
3996,UEFA Euro qualification,1970-11-10,Netherlands,1,1,Yugoslavia,,1
3997,Friendly,1970-11-10,Sierra Leone,1,0,Senegal,,1
3998,UEFA Euro qualification,1970-10-14,Denmark,0,1,Portugal,,1
3999,UEFA Euro qualification,1970-10-14,Poland,3,0,Albania,,1
4000,UEFA Euro qualification,1970-10-17,Germany,1,1,Turkey,,1
4001,Friendly,1970-10-17,Switzerland,1,1,Italy,,1
4002,Friendly,1970-10-18,Ivory Coast,0,1,Senegal,,1
4003,Friendly,1970-10-22,Paraguay,1,1,Argentina,,1
4004,Friendly,1970-10-23,New Caledonia,1,3,Australia,,1
4005,Friendly,1970-10-25,Czechoslovakia,2,2,Poland,,1
4006,Friendly,1970-10-25,New Caledonia,0,1,Australia,,1
4007,Friendly,1970-10-25,Togo,3,0,Senegal,,1
4008,Friendly,1970-10-28,Spain,2,1,Greece,,1
4009,Friendly,1970-10-30,Macau,0,9,Australia,,1
4010,Friendly,1970-04-11,Iran,1,2,Australia,,1
4011,King's Cup,1970-10-11,Hong Kong,0,3,South Korea,,0
4012,UEFA Euro qualification,1970-11-11,France,3,1,Norway,,1
4013,UEFA Euro qualification,1970-11-11,German DR,1,0,Netherlands,,1
4014,UEFA Euro qualification,1970-11-11,Scotland,1,0,Denmark,,1
4015,UEFA Euro qualification,1970-11-11,Spain,3,0,Northern Ireland,,1
4016,UEFA Euro qualification,1970-11-11,Wales,0,0,Romania,,1
4017,King's Cup,1970-12-11,South Korea,4,0,Laos,,0
